time,TC,TT,TF,Power,TM,Status
22-07-13 23:39:03.00,40.666,40.666,40.820,1.624,NA,Ramp
22-07-13 23:39:04.00,40.666,40.667,40.820,1.662,NA,Ramp
22-07-13 23:39:05.00,40.669,40.668,40.820,1.539,NA,Ramp
22-07-13 23:39:06.00,40.668,40.668,40.820,1.652,NA,Ramp
22-07-13 23:39:07.00,40.669,40.669,40.820,1.652,NA,Ramp
22-07-13 23:39:08.00,40.670,40.670,40.820,1.688,NA,Ramp
22-07-13 23:39:09.00,40.671,40.671,40.820,1.618,NA,Ramp
22-07-13 23:39:10.00,40.671,40.672,40.820,1.683,NA,Ramp
22-07-13 23:39:11.00,40.673,40.673,40.820,1.627,NA,Ramp
22-07-13 23:39:12.00,40.675,40.673,40.820,1.495,NA,Ramp
22-07-13 23:39:13.00,40.672,40.674,40.820,1.721,NA,Ramp
22-07-13 23:39:14.00,40.675,40.675,40.820,1.688,NA,Ramp
22-07-13 23:39:15.00,40.677,40.676,40.820,1.506,NA,Ramp
22-07-13 23:39:16.00,40.676,40.677,40.820,1.631,NA,Ramp
22-07-13 23:39:17.00,40.676,40.678,40.820,1.644,NA,Ramp
22-07-13 23:39:18.00,40.677,40.678,40.820,1.713,NA,Ramp
22-07-13 23:39:19.00,40.678,40.679,40.820,1.637,NA,Ramp
22-07-13 23:39:20.00,40.680,40.680,40.820,1.680,NA,Ramp
22-07-13 23:39:21.00,40.680,40.681,40.820,1.708,NA,Ramp
22-07-13 23:39:22.00,40.680,40.682,40.820,1.745,NA,Ramp
22-07-13 23:39:23.00,40.683,40.683,40.820,1.544,NA,Ramp
22-07-13 23:39:24.00,40.684,40.683,40.820,1.582,NA,Ramp
22-07-13 23:39:25.00,40.686,40.684,40.820,1.506,NA,Ramp
22-07-13 23:39:26.00,40.687,40.685,40.820,1.591,NA,Ramp
22-07-13 23:39:27.00,40.685,40.686,40.820,1.611,NA,Ramp
22-07-13 23:39:28.00,40.685,40.687,40.820,1.745,NA,Ramp
22-07-13 23:39:29.00,40.687,40.688,40.820,1.592,NA,Ramp
22-07-13 23:39:30.00,40.690,40.688,40.820,1.594,NA,Ramp
22-07-13 23:39:31.00,40.689,40.689,40.820,1.683,NA,Ramp
